fullName,country,politicalGroup,id,nationalPoliticalGroup,twitter
Lars ADAKTUSSON,Sweden,Group of the European People's Party (Christian Democrats),124990,Kristdemokraterna,Ladaktusson
Asim ADEMOV,Bulgaria,Group of the European People's Party (Christian Democrats),189525,Citizens for European Development of Bulgaria,ademovasim
Isabella ADINOLFI,Italy,Europe of Freedom and Direct Democracy Group,124831,Movimento 5 Stelle,Isa_Adinolfi
Marco AFFRONTE,Italy,Group of the Greens/European Free Alliance,124797,Independent,marcoaffronte
Laura AGEA,Italy,Europe of Freedom and Direct Democracy Group,124811,Movimento 5 Stelle,agealaura
John Stuart AGNEW,United Kingdom,Europe of Freedom and Direct Democracy Group,96897,United Kingdom Independence Party,
Clara Eugenia AGUILERA GARCÍA,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125045,Partido Socialista Obrero Español,ClaraAguilera7
Daniela AIUTO,Italy,Europe of Freedom and Direct Democracy Group,124842,Movimento 5 Stelle,DanielaAiuto
Tim AKER,United Kingdom,Europe of Freedom and Direct Democracy Group,99650,United Kingdom Independence Party,Tim_Aker
Marina ALBIOL GUZMÁN,Spain,Confederal Group of the European United Left - Nordic Green Left,125048,Izquierda Unida,MarinaAlbiol
Jan Philipp ALBRECHT,Germany,Group of the Greens/European Free Alliance,96736,Bündnis 90/Die Grünen,JanAlbrecht
Nedzhmi ALI,Bulgaria,Group of the Alliance of Liberals and Democrats for Europe,34250,Movement for Rights and Freedoms,
Michèle ALLIOT-MARIE,France,Group of the European People's Party (Christian Democrats),1179,Les Républicains,MAlliotMarie
Lucy ANDERSON,United Kingdom,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124949,Labour Party,LucyAndersonMEP
Martina ANDERSON,United Kingdom,Confederal Group of the European United Left - Nordic Green Left,113959,Sinn Fein,M_AndersonSF
Max ANDERSSON,Sweden,Group of the Greens/European Free Alliance,124994,Miljöpartiet de gröna,MaxAndersson
Eric ANDRIEU,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,113892,Parti socialiste,EricAndrieuEU
Laima Liucija ANDRIKIENĖ,Lithuania,Group of the European People's Party (Christian Democrats),28276,Tėvynės sąjunga-Lietuvos krikščionys demokratai,andrikiene
Nikos ANDROULAKIS,Greece,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125110,Panhellenic Socialist Movement - Olive Tree,androulakisnick
Gerolf ANNEMANS,Belgium,Europe of Nations and Freedom Group,124973,Vlaams Belang,gannemans
Maria ARENA,Belgium,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124936,Parti Socialiste,Mariearenaps
Pascal ARIMONT,Belgium,Group of the European People's Party (Christian Democrats),24922,Christlich Soziale Partei,pascal_arimont
Marie-Christine ARNAUTU,France,Europe of Nations and Freedom Group,124748,Rassemblement national,MCArnautu
Jonathan ARNOTT,United Kingdom,Europe of Freedom and Direct Democracy Group,124958,United Kingdom Independence Party,JonathanArnott
Jean ARTHUIS,France,Group of the Alliance of Liberals and Democrats for Europe,124773,Union des Démocrates et Indépendants,JeanArthuis
Richard ASHWORTH,United Kingdom,Group of the European People's Party (Christian Democrats),28132,Conservative Party,RichardAshMEP
Francisco ASSIS,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,28307,Partido Socialista,
Janice ATKINSON,United Kingdom,Europe of Nations and Freedom Group,124938,-,Janice4Brexit
Margrete AUKEN,Denmark,Group of the Greens/European Free Alliance,28161,Socialistisk Folkeparti,MargreteAuken
Petras AUŠTREVIČIUS,Lithuania,Group of the Alliance of Liberals and Democrats for Europe,124766,Lietuvos Respublikos liberalų sąjūdis,petras_petras
Inés AYALA SENDER,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,28292,Partido Socialista Obrero Español,IAyalaSender
Pilar AYUSO,Spain,Group of the European People's Party (Christian Democrats),4319,Partido Popular,ayuso_pilar
Johannes Cornelis van BAALEN,Netherlands,Group of the Alliance of Liberals and Democrats for Europe,96937,Volkspartij voor Vrijheid en Democratie,hansvanbaalen
Georges BACH,Luxembourg,Group of the European People's Party (Christian Democrats),97293,Parti chrétien social luxembourgeois,
Guillaume BALAS,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124744,"Génération.s, le mouvement",BalasGuillaume
Zigmantas BALČYTIS,Lithuania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96680,Lietuvos socialdemokratų partija,balcytis
Zoltán BALCZÓ,Hungary,Non-attached Members,96877,Jobbik Magyarországért Mozgalom,
Burkhard BALZ,Germany,Group of the European People's Party (Christian Democrats),96997,Christlich Demokratische Union Deutschlands,burkhardbalz
Nikolay BAREKOV,Bulgaria,European Conservatives and Reformists Group,124871,Reload Bulgaria Party,nbarekov
Amjad BASHIR,United Kingdom,European Conservatives and Reformists Group,124956,Conservative Party,AmjadBashirMEP
Gerard BATTEN,United Kingdom,Europe of Freedom and Direct Democracy Group,28497,United Kingdom Independence Party,GerardBattenMEP
Nicolas BAY,France,Europe of Nations and Freedom Group,124760,Rassemblement national,NicolasBay_
Hugues BAYET,Belgium,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125002,Parti Socialiste,huguesbayet
Catherine BEARDER,United Kingdom,Group of the Alliance of Liberals and Democrats for Europe,96955,Liberal Democrats,catherinemep
Beatriz BECERRA BASTERRECHEA,Spain,Group of the Alliance of Liberals and Democrats for Europe,125040,Independiente,beatrizbecerrab
Heinz K. BECKER,Austria,Group of the European People's Party (Christian Democrats),107041,Österreichische Volkspartei,
Tiziana BEGHIN,Italy,Europe of Freedom and Direct Democracy Group,124777,Movimento 5 Stelle,beghin_t
Bas BELDER,Netherlands,European Conservatives and Reformists Group,4507,Staatkundig Gereformeerde Partij,BasBelderMEP
Ivo BELET,Belgium,Group of the European People's Party (Christian Democrats),28257,Christen-Democratisch & Vlaams,IvoBelet
Bendt BENDTSEN,Denmark,Group of the European People's Party (Christian Democrats),96705,Det Konservative Folkeparti,BendtEU
Brando BENIFEI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124867,Partito Democratico,brandobenifei
Xabier BENITO ZILUAGA,Spain,Confederal Group of the European United Left - Nordic Green Left,135490,PODEMOS,xabierbenito
Monika BEŇOVÁ,Slovakia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,23868,SMER-Sociálna demokracia,MonikaFlaBenova
Pervenche BERÈS,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1985,Parti socialiste,PervencheBeres
Joëlle BERGERON,France,Europe of Freedom and Direct Democracy Group,124740,Sans étiquette,jbergeronmep
Goffredo Maria BETTINI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124819,Partito Democratico,GoffredoBettini
Izaskun BILBAO BARANDICA,Spain,Group of the Alliance of Liberals and Democrats for Europe,96922,Partido Nacionalista Vasco,IzaskunBilbaoB
Dominique BILDE,France,Europe of Nations and Freedom Group,124771,Rassemblement national,DominiqueBilde
Mara BIZZOTTO,Italy,Europe of Nations and Freedom Group,97198,Lega Nord,marabizzotto
Malin BJÖRK,Sweden,Confederal Group of the European United Left - Nordic Green Left,124992,Vänsterpartiet,MalinBjork_EU
José BLANCO LÓPEZ,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125044,Partido Socialista Obrero Español,pepeblancoEP
Vilija BLINKEVIČIŪTĖ,Lithuania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96681,Lietuvos socialdemokratų partija,
Andrea BOCSKOR,Hungary,Group of the European People's Party (Christian Democrats),124712,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,
Reimer BÖGE,Germany,Group of the European People's Party (Christian Democrats),1037,Christlich Demokratische Union Deutschlands,
Franc BOGOVIČ,Slovenia,Group of the European People's Party (Christian Democrats),125004,Slovenska ljudska stranka,Franc_Bogovic
Simona BONAFÈ,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124814,Partito Democratico,simonabonafe
Michał BONI,Poland,Group of the European People's Party (Christian Democrats),124896,Platforma Obywatelska,MichalBoni
Mario BORGHEZIO,Italy,Europe of Nations and Freedom Group,21817,Lega Nord,porchezio
David BORRELLI,Italy,Non-attached Members,124796,Movimento 5 Stelle,borrellidavid
Biljana BORZAN,Croatia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,112748,Socijaldemokratska partija Hrvatske,BiljanaBorzan
Victor BOŞTINARU,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,39711,Partidul Social Democrat,victorbostinaru
Louise BOURS,United Kingdom,Europe of Freedom and Direct Democracy Group,124964,United Kingdom Independence Party,LvNistelrooij
Marie-Christine BOUTONNET,France,Europe of Nations and Freedom Group,124753,Rassemblement national,mcboutonnetfn
José BOVÉ,France,Group of the Greens/European Free Alliance,96744,Europe Écologie,josebove
Lynn BOYLAN,Ireland,Confederal Group of the European United Left - Nordic Green Left,124984,Sinn Féin,LNBDublin
Paul BRANNEN,United Kingdom,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124954,Labour Party,PaulBrannenNE
Mercedes BRESSO,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,28346,Partito Democratico,mercedesbresso
Renata BRIANO,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124787,Partito Democratico,renatabriano
Steeve BRIOIS,France,Europe of Nations and Freedom Group,124757,Rassemblement national,SteeveBriois
Elmar BROK,Germany,Group of the European People's Party (Christian Democrats),1263,Christlich Demokratische Union Deutschlands,elmarbrok_mep
Klaus BUCHNER,Germany,Group of the Greens/European Free Alliance,124818,Ökologisch-Demokratische Partei,Dr_KlausBuchner
Daniel BUDA,Romania,Group of the European People's Party (Christian Democrats),125012,Partidul Naţional Liberal,MEPDanielBuda
Udo BULLMANN,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,4267,Sozialdemokratische Partei Deutschlands,UdoBullmann
Jonathan BULLOCK,United Kingdom,Europe of Freedom and Direct Democracy Group,188733,United Kingdom Independence Party,jonathanmep
Cristian-Silviu BUŞOI,Romania,Group of the European People's Party (Christian Democrats),38420,Partidul Naţional Liberal,
Reinhard BÜTIKOFER,Germany,Group of the Greens/European Free Alliance,96739,Bündnis 90/Die Grünen,bueti
Jerzy BUZEK,Poland,Group of the European People's Party (Christian Democrats),28269,Platforma Obywatelska,JerzyBuzek
Soledad CABEZÓN RUIZ,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125041,Partido Socialista Obrero Español,SoledadCabezon
Alain CADEC,France,Group of the European People's Party (Christian Democrats),96849,Les Républicains,AlainCadec
Enrique CALVET CHAMBON,Spain,Group of the Alliance of Liberals and Democrats for Europe,129407,Independiente,EnriqueCalvet
Wim van de CAMP,Netherlands,Group of the European People's Party (Christian Democrats),96754,Christen Democratisch Appèl,WimvandeCamp
David CAMPBELL BANNERMAN,United Kingdom,European Conservatives and Reformists Group,96912,Conservative Party,DCBMEP
Nicola CAPUTO,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124851,Partito Democratico,NicolaCaputo
Matt CARTHY,Ireland,Confederal Group of the European United Left - Nordic Green Left,124986,Sinn Féin,mattcarthy
James CARVER,United Kingdom,Non-attached Members,124971,Independent,JamesJimCarver
David CASA,Malta,Group of the European People's Party (Christian Democrats),28122,Partit Nazzjonalista,DavidCasaMEP
Daniel CASPARY,Germany,Group of the European People's Party (Christian Democrats),28219,Christlich Demokratische Union Deutschlands,caspary
Fabio Massimo CASTALDO,Italy,Europe of Freedom and Direct Democracy Group,124812,Movimento 5 Stelle,FMCastaldo
Pilar del CASTILLO VERA,Spain,Group of the European People's Party (Christian Democrats),28390,Partido Popular,delcastillop
Jean-Marie CAVADA,France,Group of the Alliance of Liberals and Democrats for Europe,28206,Génération Citoyens,JeanMarieCAVADA
Lorenzo CESA,Italy,Group of the European People's Party (Christian Democrats),28451,Unione di Centro,L_Cesa
Dita CHARANZOVÁ,Czech Republic,Group of the Alliance of Liberals and Democrats for Europe,124708,ANO 2011,charanzova
Aymeric CHAUPRADE,France,Europe of Freedom and Direct Democracy Group,124752,Les Français Libres,a_chauprade
Nessa CHILDERS,Ireland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96603,Independent,NChildersMEP
Caterina CHINNICI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124861,Partito Democratico,CaterinaChinnic
Nikolaos CHOUNTIS,Greece,Confederal Group of the European United Left - Nordic Green Left,26851,Popular Unity,
Ole CHRISTENSEN,Denmark,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,28154,Socialdemokratiet,OleEU
Lefteris CHRISTOFOROU,Cyprus,Group of the European People's Party (Christian Democrats),26837,Democratic Rally,LefChristoforou
Kostas CHRYSOGONOS,Greece,Confederal Group of the European United Left - Nordic Green Left,125061,Coalition of the Radical Left,chrysogonos_k
Salvatore CICU,Italy,Group of the European People's Party (Christian Democrats),124854,Forza Italia,SalvoCicu
Angelo CIOCCA,Italy,Europe of Nations and Freedom Group,183793,Lega Nord,angelociocca
Alberto CIRIO,Italy,Group of the European People's Party (Christian Democrats),124772,Forza Italia,Alberto_Cirio
Deirdre CLUNE,Ireland,Group of the European People's Party (Christian Democrats),124988,Fine Gael Party,DeirdreCluneMEP
David COBURN,United Kingdom,Europe of Freedom and Direct Democracy Group,124967,United Kingdom Independence Party,DavidCoburnUKip
Carlos COELHO,Portugal,Group of the European People's Party (Christian Democrats),1892,Partido Social Democrata,CarlosCoelhoPE
Sergio Gaetano COFFERATI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96915,Sinistra Italiana,Cofferati
Birgit COLLIN-LANGEN,Germany,Group of the European People's Party (Christian Democrats),112788,Christlich Demokratische Union Deutschlands,
Jane COLLINS,United Kingdom,Europe of Freedom and Direct Democracy Group,124955,United Kingdom Independence Party,jane_collinsmep
Jacques COLOMBIER,France,Europe of Nations and Freedom Group,191510,Rassemblement national,jcolombierfn
Lara COMI,Italy,Group of the European People's Party (Christian Democrats),96775,Forza Italia,comilara
Anna Maria CORAZZA BILDT,Sweden,Group of the European People's Party (Christian Democrats),96674,Moderaterna,AnnaMariaCB
Richard CORBETT,United Kingdom,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,2309,Labour Party,RCorbettMEP
Thierry CORNILLET,France,Group of the Alliance of Liberals and Democrats for Europe,4338,Mouvement Radical,tcornillet
Ignazio CORRAO,Italy,Europe of Freedom and Direct Democracy Group,124856,Movimento 5 Stelle,ignaziocorrao
Silvia COSTA,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96917,Partito Democratico,SilviaCostaEU
Javier COUSO PERMUY,Spain,Confederal Group of the European United Left - Nordic Green Left,125997,Izquierda Unida,Caninator
Andrea COZZOLINO,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96880,Partito Democratico,cozzolino62
Michael CRAMER,Germany,Group of the Greens/European Free Alliance,28238,Bündnis 90/Die Grünen,MepMCramer
Andi CRISTEA,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,40224,Partidul Social Democrat,andicristeamep
Brian CROWLEY,Ireland,European Conservatives and Reformists Group,2109,Fianna Fáil Party,
Pál CSÁKY,Slovakia,Group of the European People's Party (Christian Democrats),124930,Strana mad'arskej komunity- Magyar Közösség Pártja,csakypal
Ryszard CZARNECKI,Poland,European Conservatives and Reformists Group,28372,Prawo i Sprawiedliwość,r_czarnecki
Edward CZESAK,Poland,European Conservatives and Reformists Group,132925,Prawo i Sprawiedliwość,
Peter van DALEN,Netherlands,European Conservatives and Reformists Group,96809,ChristenUnie,petervdalen
Miriam DALLI,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124970,Partit Laburista,Miriamdalli
Daniel DALTON,United Kingdom,European Conservatives and Reformists Group,35135,Conservative Party,ddalton40
Jakop DALUNDE,Sweden,Group of the Greens/European Free Alliance,183338,Miljöpartiet de gröna,JakopDalunde
Rosa D'AMATO,Italy,Europe of Freedom and Direct Democracy Group,124835,Movimento 5 Stelle,rosadamato634
Seb DANCE,United Kingdom,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124952,Labour Party,SebDance
Arnaud DANJEAN,France,Group of the European People's Party (Christian Democrats),96747,Les Républicains,ArnaudDanjean
Nicola DANTI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124821,Partito Democratico,DantiNicola
Michel DANTIN,France,Group of the European People's Party (Christian Democrats),97296,Les Républicains,MichelDANTIN
William (The Earl of) DARTMOUTH,United Kingdom,Europe of Freedom and Direct Democracy Group,96958,United Kingdom Independence Party,
Rachida DATI,France,Group of the European People's Party (Christian Democrats),72775,Les Républicains,datirachida
Paolo DE CASTRO,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96891,Partito Democratico,paolodecastro
Angélique DELAHAYE,France,Group of the European People's Party (Christian Democrats),124732,Les Républicains,Delahaye_Europe
Andor DELI,Hungary,Group of the European People's Party (Christian Democrats),124714,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,AndorDeli
Karima DELLI,France,Group of the Greens/European Free Alliance,96868,Europe Écologie,KarimaDelli
Mady DELVAUX,Luxembourg,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124776,Parti ouvrier socialiste luxembourgeois,
Mark DEMESMAEKER,Belgium,European Conservatives and Reformists Group,117477,Nieuw-Vlaamse Alliantie,markdemesmaeker
Isabella DE MONTE,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124803,Partito Democratico,IsabellaDeMonte
Gérard DEPREZ,Belgium,Group of the Alliance of Liberals and Democrats for Europe,1473,Mouvement Réformateur,gerardeprez
Albert DESS,Germany,Group of the European People's Party (Christian Democrats),28228,Christlich-Soziale Union in Bayern e.V.,albert_dess
Michael DETJEN,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,190799,Sozialdemokratische Partei Deutschlands,michaeldetjen
Tamás DEUTSCH,Hungary,Group of the European People's Party (Christian Democrats),96826,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,dajcstomi
Nirj DEVA,United Kingdom,European Conservatives and Reformists Group,4556,Conservative Party,NirjDeva
Mircea DIACONU,Romania,Group of the Alliance of Liberals and Democrats for Europe,124805,Independent,M_DiaconuMEP
Agustín DÍAZ DE MERA GARCÍA CONSUEGRA,Spain,Group of the European People's Party (Christian Democrats),28397,Partido Popular,
Geoffroy DIDIER,France,Group of the European People's Party (Christian Democrats),190774,Les Républicains,geoffroydidier
Martina DLABAJOVÁ,Czech Republic,Group of the Alliance of Liberals and Democrats for Europe,124709,ANO 2011,mdlabajova
Diane DODDS,United Kingdom,Non-attached Members,96951,Democratic Unionist Party,DianeDoddsMEP
Jørn DOHRMANN,Denmark,European Conservatives and Reformists Group,124878,Dansk Folkeparti,MEPDohrmann
Herbert DORFMANN,Italy,Group of the European People's Party (Christian Democrats),96787,Südtiroler Volkspartei,HerbertDorfmann
Mireille D'ORNANO,France,Europe of Freedom and Direct Democracy Group,124750,Les Patriotes,mireilledornano
Damian DRĂGHICI,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124786,Independent,damiandraghici
Pascal DURAND,France,Group of the Greens/European Free Alliance,124693,Europe Écologie,PDurandOfficiel
Angel DZHAMBAZKI,Bulgaria,European Conservatives and Reformists Group,124873,VMRO,
Stefan ECK,Germany,Confederal Group of the European United Left - Nordic Green Left,124863,Independent,Stefan_Eck_MEP
Christian EHLER,Germany,Group of the European People's Party (Christian Democrats),28226,Christlich Demokratische Union Deutschlands,
Bas EICKHOUT,Netherlands,Group of the Greens/European Free Alliance,96725,GroenLinks,BasEickhout
André ELISSEN,Netherlands,Europe of Nations and Freedom Group,188445,Partij voor de Vrijheid,andreelissen
Frank ENGEL,Luxembourg,Group of the European People's Party (Christian Democrats),96876,Parti chrétien social luxembourgeois,
Linnéa ENGSTRÖM,Sweden,Group of the Greens/European Free Alliance,128588,Miljöpartiet de gröna,LinneaEngstrom
Georgios EPITIDEIOS,Greece,Non-attached Members,125071,Popular Association – Golden Dawn,epitidgeorgios
Norbert ERDŐS,Hungary,Group of the European People's Party (Christian Democrats),124711,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,
Cornelia ERNST,Germany,Confederal Group of the European United Left - Nordic Green Left,96852,DIE LINKE.,ErnstCornelia
Ismail ERTUG,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96842,Sozialdemokratische Partei Deutschlands,IsmailErtug
Rosa ESTARÀS FERRAGUT,Spain,Group of the European People's Party (Christian Democrats),96811,Partido Popular,
Bill ETHERIDGE,United Kingdom,Europe of Freedom and Direct Democracy Group,124951,United Kingdom Independence Party,Billukip
Jill EVANS,United Kingdom,Group of the Greens/European Free Alliance,4550,Plaid Cymru - Party of Wales,JillEvansMEP
Eleonora EVI,Italy,Europe of Freedom and Direct Democracy Group,124779,Movimento 5 Stelle,EleonoraEvi
Tanja FAJON,Slovenia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96911,Socialni demokrati,tfajon
Nigel FARAGE,United Kingdom,Europe of Freedom and Direct Democracy Group,4525,United Kingdom Independence Party,Nigel_Farage
José Inácio FARIA,Portugal,Group of the European People's Party (Christian Democrats),125101,Partido da Terra,josefariamep
Fredrick FEDERLEY,Sweden,Group of the Alliance of Liberals and Democrats for Europe,124989,Centerpartiet,federley
Markus FERBER,Germany,Group of the European People's Party (Christian Democrats),1917,Christlich-Soziale Union in Bayern e.V.,MarkusFerber
José Manuel FERNANDES,Portugal,Group of the European People's Party (Christian Democrats),96899,Partido Social Democrata,JMFernandesEU
Jonás FERNÁNDEZ,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125046,Partido Socialista Obrero Español,jonasfernandez
Giuseppe FERRANDINO,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,192634,Partito Democratico,giosiferrandino
Laura FERRARA,Italy,Europe of Freedom and Direct Democracy Group,124833,Movimento 5 Stelle,LFerraraM5S
João FERREIRA,Portugal,Confederal Group of the European United Left - Nordic Green Left,96706,Partido Comunista Português,
