fullName,country,politicalGroup,id,nationalPoliticalGroup,twitter
Raymond FINCH,United Kingdom,Europe of Freedom and Direct Democracy Group,124941,United Kingdom Independence Party,
Santiago FISAS AYXELÀ,Spain,Group of the European People's Party (Christian Democrats),96729,Partido Popular,SantiagoFisas
Raffaele FITTO,Italy,European Conservatives and Reformists Group,4465,Conservatori e Riformisti,RaffaeleFitto
Christofer FJELLNER,Sweden,Group of the European People's Party (Christian Democrats),28126,Moderaterna,Fjellner
John FLACK,United Kingdom,European Conservatives and Reformists Group,188623,Conservative Party,johnflackmep
Luke Ming FLANAGAN,Ireland,Confederal Group of the European United Left - Nordic Green Left,124985,Independent,lukeming
Knut FLECKENSTEIN,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96840,Sozialdemokratische Partei Deutschlands,knufleckenstein
Karl-Heinz FLORENZ,Germany,Group of the European People's Party (Christian Democrats),1038,Christlich Demokratische Union Deutschlands,
Eleonora FORENZA,Italy,Confederal Group of the European United Left - Nordic Green Left,125193,Lista Tsipras-L'Altra Europa,eleonoraforenza
Jacqueline FOSTER,United Kingdom,European Conservatives and Reformists Group,4553,Conservative Party,jfostermep
Anna Elżbieta FOTYGA,Poland,European Conservatives and Reformists Group,28353,Prawo i Sprawiedliwość,
Lampros FOUNTOULIS,Greece,Non-attached Members,125070,Popular Association – Golden Dawn,fountoulislampr
Ashley FOX,United Kingdom,European Conservatives and Reformists Group,96957,Conservative Party,Ashleyfoxmep
Eugen FREUND,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125018,Sozialdemokratische Partei Österreichs,EugenAFreund
Doru-Claudian FRUNZULICĂ,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124790,Partidul Social Democrat,dorufrunzulica
Aleksander GABELIC,Sweden,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,192465,Arbetarepartiet- Socialdemokraterna,AGabelic
Michael GAHLER,Germany,Group of the European People's Party (Christian Democrats),2341,Christlich Demokratische Union Deutschlands,michaelgahler
Kinga GÁL,Hungary,Group of the European People's Party (Christian Democrats),28150,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,
Francesc GAMBÚS,Spain,Group of the European People's Party (Christian Democrats),125006,-,fgambus_eu
Iratxe GARCÍA PÉREZ,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,28298,Partido Socialista Obrero Español,IratxeGarper
Eider GARDIAZABAL RUBIAL,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96991,Partido Socialista Obrero Español,EGardiazabal
Elisabetta GARDINI,Italy,Group of the European People's Party (Christian Democrats),58758,Forza Italia,EGardini
Enrico GASBARRA,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124817,Partito Democratico,enricogasbarra
Evelyne GEBHARDT,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1913,Sozialdemokratische Partei Deutschlands,egebhardtmdep
Jens GEIER,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96833,Sozialdemokratische Partei Deutschlands,EuropaJens
Elena GENTILE,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124847,Partito Democratico,elena_gentile
Gerben-Jan GERBRANDY,Netherlands,Group of the Alliance of Liberals and Democrats for Europe,96940,Democraten 66,Gerbrandy
Arne GERICKE,Germany,European Conservatives and Reformists Group,124815,Freie Wähler,Arne_Gericke
Lidia Joanna GERINGER de OEDENBERG,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,28377,Bezpartyjna,lidiageringer
Sven GIEGOLD,Germany,Group of the Greens/European Free Alliance,96730,Bündnis 90/Die Grünen,sven_giegold
Adam GIEREK,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,28379,Unia Pracy,AdamGierek
Jens GIESEKE,Germany,Group of the European People's Party (Christian Democrats),124807,Christlich Demokratische Union Deutschlands,
Neena GILL,United Kingdom,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,4533,Labour Party,NeenaGmep
Nathan GILL,United Kingdom,Europe of Freedom and Direct Democracy Group,124965,United Kingdom Independence Party,NathanGillMEP
María Teresa GIMÉNEZ BARBAT,Spain,Group of the Alliance of Liberals and Democrats for Europe,135491,-,gimenezbarbat
Julie GIRLING,United Kingdom,Group of the European People's Party (Christian Democrats),96956,Conservative Party,juliegirling
Michela GIUFFRIDA,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124864,Partito Democratico,m_giuffrida
Karine GLOANEC MAURIN,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,193080,Parti socialiste,kgloanecmaurin
Sylvie GODDYN,France,Europe of Nations and Freedom Group,21331,Rassemblement national,Sylvie_Goddyn
Charles GOERENS,Luxembourg,Group of the Alliance of Liberals and Democrats for Europe,840,Parti démocratique,CharlesGoerens
Bruno GOLLNISCH,France,Non-attached Members,1164,Front national,brunogollnisch
Ana GOMES,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,28306,Partido Socialista,AnaGomesMEP
Tania GONZÁLEZ PEÑAS,Spain,Confederal Group of the European United Left - Nordic Green Left,127330,PODEMOS,TaniaGonzalezPs
Esteban GONZÁLEZ PONS,Spain,Group of the European People's Party (Christian Democrats),125027,Partido Popular,gonzalezpons
Beata GOSIEWSKA,Poland,European Conservatives and Reformists Group,124900,Prawo i Sprawiedliwość,beatagosiewska
Marcel de GRAAFF,Netherlands,Europe of Nations and Freedom Group,125025,Partij voor de Vrijheid,MJRLdeGraaff
Giorgos GRAMMATIKAKIS,Greece,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125112,The River,grammatikakisg
Luis de GRANDES PASCUAL,Spain,Group of the European People's Party (Christian Democrats),28393,Partido Popular,
Maria GRAPINI,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124785,Partidul Puterii Umaniste,MariaGrapini
Ingeborg GRÄSSLE,Germany,Group of the European People's Party (Christian Democrats),28220,Christlich Demokratische Union Deutschlands,inge_graessle
Karoline GRASWANDER-HAINZ,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,133316,Sozialdemokratische Partei Österreichs,graswanderhainz
Nathalie GRIESBECK,France,Group of the Alliance of Liberals and Democrats for Europe,28208,Mouvement Démocrate,Nat_GRIESBECK
Theresa GRIFFIN,United Kingdom,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124961,Labour Party,TheresaMEP
Iveta GRIGULE-PĒTERSE,Latvia,Group of the Alliance of Liberals and Democrats for Europe,124745,Zaļo un Zemnieku savienība,IvetaGrigule
Françoise GROSSETÊTE,France,Group of the European People's Party (Christian Democrats),2025,Les Républicains,GrosseteteF
Andrzej GRZYB,Poland,Group of the European People's Party (Christian Democrats),23785,Polskie Stronnictwo Ludowe,GrzybAndrzej
Roberto GUALTIERI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96892,Partito Democratico,gualtierieurope
Enrique GUERRERO SALOM,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96768,Partido Socialista Obrero Español,
Sylvie GUILLAUME,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96952,Parti socialiste,sylvieguillaume
Antanas GUOGA,Lithuania,Group of the European People's Party (Christian Democrats),124763,Independent,antanasguoga
Jytte GUTELAND,Sweden,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124991,Arbetarepartiet- Socialdemokraterna,JytteGuteland
Sergio GUTIÉRREZ PRIETO,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,103488,Partido Socialista Obrero Español,Sergio_GP
András GYÜRK,Hungary,Group of the European People's Party (Christian Democrats),23816,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,
Takis HADJIGEORGIOU,Cyprus,Confederal Group of the European United Left - Nordic Green Left,96907,Progressive Party of Working People - Left - New Forces,thadjigeorgiou
Jussi HALLA-AHO,Finland,European Conservatives and Reformists Group,124727,Perussuomalaiset,halla_aho
Thomas HÄNDEL,Germany,Confederal Group of the European United Left - Nordic Green Left,96851,DIE LINKE.,thaendel
Daniel HANNAN,United Kingdom,European Conservatives and Reformists Group,4555,Conservative Party,DanielJHannan
Marian HARKIN,Ireland,Group of the Alliance of Liberals and Democrats for Europe,28116,Independent,MarianHarkin
Rebecca HARMS,Germany,Group of the Greens/European Free Alliance,28233,Bündnis 90/Die Grünen,RebHarms
Martin HÄUSLING,Germany,Group of the Greens/European Free Alliance,96752,Bündnis 90/Die Grünen,MartinHaeusling
Heidi HAUTALA,Finland,Group of the Greens/European Free Alliance,2054,Vihreä liitto,HeidiHautala
Brian HAYES,Ireland,Group of the European People's Party (Christian Democrats),118658,Fine Gael Party,brianhayesMEP
Anja HAZEKAMP,Netherlands,Confederal Group of the European United Left - Nordic Green Left,125023,Partij voor de Dieren,anjahazekamp
Anna HEDH,Sweden,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,28131,Arbetarepartiet- Socialdemokraterna,AnnaHedh
Hans-Olaf HENKEL,Germany,European Conservatives and Reformists Group,124823,Liberal-Conservative Refomists,HansOlafHenkel
Esther HERRANZ GARCÍA,Spain,Group of the European People's Party (Christian Democrats),22418,Partido Popular,
Krzysztof HETMAN,Poland,Group of the European People's Party (Christian Democrats),124895,Polskie Stronnictwo Ludowe,hetman_k
Maria HEUBUCH,Germany,Group of the Greens/European Free Alliance,124848,Bündnis 90/Die Grünen,MariaHeubuch
Nadja HIRSCH,Germany,Group of the Alliance of Liberals and Democrats for Europe,96872,Freie Demokratische Partei,nadjahirsch
Czesław HOC,Poland,European Conservatives and Reformists Group,135540,Prawo i Sprawiedliwość,czeslawhoc
Iris HOFFMANN,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124841,Sozialdemokratische Partei Deutschlands,
Monika HOHLMEIER,Germany,Group of the European People's Party (Christian Democrats),96780,Christlich-Soziale Union in Bayern e.V.,MHohlmeier
Gunnar HÖKMARK,Sweden,Group of the European People's Party (Christian Democrats),28124,Moderaterna,ghokmark
György HÖLVÉNYI,Hungary,Group of the European People's Party (Christian Democrats),124715,Kereszténydemokrata Néppárt,
Mary HONEYBALL,United Kingdom,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,5846,Labour Party,maryhoneyball
Mike HOOKEM,United Kingdom,Europe of Freedom and Direct Democracy Group,124957,United Kingdom Independence Party,mikehookemmep
Brice HORTEFEUX,France,Group of the European People's Party (Christian Democrats),5565,Les Républicains,BriceHortefeux
John HOWARTH,United Kingdom,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,188636,Labour Party,johnhowarth1958
Danuta Maria HÜBNER,Poland,Group of the European People's Party (Christian Democrats),96779,Platforma Obywatelska,danutahuebner
Ian HUDGHTON,United Kingdom,Group of the Greens/European Free Alliance,2338,Scottish National Party,hudghtonmepSNP
Jan HUITEMA,Netherlands,Group of the Alliance of Liberals and Democrats for Europe,58789,Volkspartij voor Vrijheid en Democratie,jhuitema
Filiz HYUSMENOVA,Bulgaria,Group of the Alliance of Liberals and Democrats for Europe,34249,Movement for Rights and Freedoms,
Sophia in 't VELD,Netherlands,Group of the Alliance of Liberals and Democrats for Europe,28266,Democraten 66,SophieintVeld
Carlos ITURGAIZ,Spain,Group of the European People's Party (Christian Democrats),28398,Partido Popular,carlositurgaiz
Cătălin Sorin IVAN,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96857,Partidul Social Democrat,catalin_ivan
Robert Jarosław IWASZKIEWICZ,Poland,Europe of Freedom and Direct Democracy Group,124886,Wolność,rj_iwaszkiewicz
Liisa JAAKONSAARI,Finland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96684,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti,ljaakonsaari
Anneli JÄÄTTEENMÄKI,Finland,Group of the Alliance of Liberals and Democrats for Europe,28314,Suomen Keskusta,jaatteenmaki
Yannick JADOT,France,Group of the Greens/European Free Alliance,96740,Europe Écologie,yjadot
Peter JAHR,Germany,Group of the European People's Party (Christian Democrats),96772,Christlich Demokratische Union Deutschlands,peter_jahr
Ivan JAKOVČIĆ,Croatia,Group of the Alliance of Liberals and Democrats for Europe,124754,Istarski demokratski sabor - Dieta democratica istriana,IvanJakovcic
Jean-François JALKH,France,Europe of Nations and Freedom Group,124770,Rassemblement national,JFJalkh
Diane JAMES,United Kingdom,Non-attached Members,124939,-,DianeUKIP
France JAMET,France,Europe of Nations and Freedom Group,189065,Rassemblement national,francejamet
Lívia JÁRÓKA,Hungary,Group of the European People's Party (Christian Democrats),28141,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,jarokalivia
Ramón JÁUREGUI ATONDO,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,97078,Partido Socialista Obrero Español,RJaureguiA
Benedek JÁVOR,Hungary,Group of the Greens/European Free Alliance,124721,Együtt 2014 - Párbeszéd Magyarországért,javorbenedek
Danuta JAZŁOWIECKA,Poland,Group of the European People's Party (Christian Democrats),96781,Platforma Obywatelska,DJazlowiecka
Petr JEŽEK,Czech Republic,Group of the Alliance of Liberals and Democrats for Europe,124707,Independent,JezekCZ
Teresa JIMÉNEZ-BECERRIL BARRIO,Spain,Group of the European People's Party (Christian Democrats),96806,Partido Popular,TeresaJBecerril
Eva JOLY,France,Group of the Greens/European Free Alliance,96883,Europe Écologie,EvaJoly
Dennis de JONG,Netherlands,Confederal Group of the European United Left - Nordic Green Left,96748,Socialistische Partij,DdJong
Agnes JONGERIUS,Netherlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125021,Partij van de Arbeid,a_jongerius
Marc JOULAUD,France,Group of the European People's Party (Christian Democrats),124728,Les Républicains,MarcJoulaud
Marek JUREK,Poland,European Conservatives and Reformists Group,124892,Prawica Rzeczypospolitej,marekjurek
Philippe JUVIN,France,Group of the European People's Party (Christian Democrats),96884,Les Républicains,philippejuvin
Karin KADENBACH,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,97014,Sozialdemokratische Partei Österreichs,karinkadenbach
Eva KAILI,Greece,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125109,Panhellenic Socialist Movement - Olive Tree,EvaKaili
Jarosław KALINOWSKI,Poland,Group of the European People's Party (Christian Democrats),96771,Polskie Stronnictwo Ludowe,
Kaja KALLAS,Estonia,Group of the Alliance of Liberals and Democrats for Europe,124697,Eesti Reformierakond,kajakallas
Sandra KALNIETE,Latvia,Group of the European People's Party (Christian Democrats),96934,"Partija ""VIENOTĪBA""",Kalniete
Syed KAMALL,United Kingdom,European Conservatives and Reformists Group,33569,Conservative Party,SyedKamall
Petra KAMMEREVERT,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96837,Sozialdemokratische Partei Deutschlands,
Barbara KAPPEL,Austria,Europe of Nations and Freedom Group,125024,Freiheitliche Partei Österreichs,b_kappel
Othmar KARAS,Austria,Group of the European People's Party (Christian Democrats),4246,Österreichische Volkspartei,othmar_karas
Rina Ronja KARI,Denmark,Confederal Group of the European United Left - Nordic Green Left,122885,Folkebevægelsen mod EU,rinakari
Sajjad KARIM,United Kingdom,European Conservatives and Reformists Group,28481,Conservative Party,SHKMEP
Krišjānis KARIŅŠ,Latvia,Group of the European People's Party (Christian Democrats),96901,"Partija ""VIENOTĪBA""",krisjaniskarins
Rikke-Louise KARLSSON,Denmark,Non-attached Members,124876,Independent,
Karol KARSKI,Poland,European Conservatives and Reformists Group,124887,Prawo i Sprawiedliwość,profKarski
Elsi KATAINEN,Finland,Group of the Alliance of Liberals and Democrats for Europe,191693,Suomen Keskusta,elsikatainen
Sylvia-Yvonne KAUFMANN,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1849,Sozialdemokratische Partei Deutschlands,KaufmannSylvia
Manolis KEFALOGIANNIS,Greece,Group of the European People's Party (Christian Democrats),125068,Nea Demokratia,M_Kefalogiannis
Tunne KELAM,Estonia,Group of the European People's Party (Christian Democrats),28424,Erakond Isamaa ja Res Publica Liit,
Jan KELLER,Czech Republic,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124695,Česká strana sociálně demokratická,kellerhonza
Ska KELLER,Germany,Group of the Greens/European Free Alliance,96734,Bündnis 90/Die Grünen,SkaKeller
Seán KELLY,Ireland,Group of the European People's Party (Christian Democrats),96668,Fine Gael Party,SeanKellyMEP
Wajid KHAN,United Kingdom,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,188624,Labour Party,wajidkhanmep
Jude KIRTON-DARLING,United Kingdom,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124953,Labour Party,Jude_KD
Wolf KLINZ,Germany,Group of the Alliance of Liberals and Democrats for Europe,28244,Freie Demokratische Partei,
Sławomir KŁOSOWSKI,Poland,European Conservatives and Reformists Group,135541,Prawo i Sprawiedliwość,
Dieter-Lebrecht KOCH,Germany,Group of the European People's Party (Christian Democrats),1852,Christlich Demokratische Union Deutschlands,
Jeppe KOFOD,Denmark,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124870,Socialdemokratiet,JeppeKofod
Jaromír KOHLÍČEK,Czech Republic,Confederal Group of the European United Left - Nordic Green Left,28331,Komunistická strana Čech a Moravy,KohlicekJaromir
Arndt KOHN,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,186884,Sozialdemokratische Partei Deutschlands,arndtkohn
Bernd KÖLMEL,Germany,European Conservatives and Reformists Group,124824,Liberal-Conservative Refomists,Bernd_Koelmel
Kateřina KONEČNÁ,Czech Republic,Confederal Group of the European United Left - Nordic Green Left,23699,Komunistická strana Čech a Moravy,Konecna_K
Ádám KÓSA,Hungary,Group of the European People's Party (Christian Democrats),96829,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,adamkosamep
Dietmar KÖSTER,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124822,Sozialdemokratische Partei Deutschlands,
Stelios KOULOGLOU,Greece,Confederal Group of the European United Left - Nordic Green Left,130833,Coalition of the Radical Left,SteliosKoul
Peter KOUROUMBASHEV,Bulgaria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124857,-,pkouroumbashev
Béla KOVÁCS,Hungary,Non-attached Members,102887,-,
Andrey KOVATCHEV,Bulgaria,Group of the European People's Party (Christian Democrats),97968,Citizens for European Development of Bulgaria,andreykovatchev
Agnieszka KOZŁOWSKA-RAJEWICZ,Poland,Group of the European People's Party (Christian Democrats),124889,Platforma Obywatelska,AKRajewicz
Zdzisław KRASNODĘBSKI,Poland,European Conservatives and Reformists Group,124891,Bezpartyjny,ZdzKrasnodebski
Constanze KREHL,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1854,Sozialdemokratische Partei Deutschlands,ConstanzeKrehl
Urszula KRUPA,Poland,European Conservatives and Reformists Group,28334,Independent,
Barbara KUDRYCKA,Poland,Group of the European People's Party (Christian Democrats),28284,Platforma Obywatelska,BarbaraKudrycka
Werner KUHN,Germany,Group of the European People's Party (Christian Democrats),96767,Christlich Demokratische Union Deutschlands,WernerKuhnMdEP
Eduard KUKAN,Slovakia,Group of the European People's Party (Christian Democrats),96651,Independent,EduardKukan
Miapetra KUMPULA-NATRI,Finland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124735,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti,miapetrakumpula
Kostadinka KUNEVA,Greece,Confederal Group of the European United Left - Nordic Green Left,125092,Coalition of the Radical Left,kkuneva
Zbigniew KUŹMIUK,Poland,European Conservatives and Reformists Group,28389,Prawo i Sprawiedliwość,ZbigniewKuzmiuk
Cécile Kashetu KYENGE,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124801,Partito Democratico,ckyenge
Merja KYLLÖNEN,Finland,Confederal Group of the European United Left - Nordic Green Left,124736,Vasemmistoliitto,KyllonenMerja
Miltiadis KYRKOS,Greece,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125113,The River,miltos_kyrkos
Georgios KYRTSOS,Greece,Group of the European People's Party (Christian Democrats),125063,Nea Demokratia,GiorgosKyrtsos
Ilhan KYUCHYUK,Bulgaria,Group of the Alliance of Liberals and Democrats for Europe,124866,Movement for Rights and Freedoms,ilhankyuchyuk
Patricia LALONDE,France,Group of the Alliance of Liberals and Democrats for Europe,188254,Union des Démocrates et Indépendants,patricialalond2
Alain LAMASSOURE,France,Group of the European People's Party (Christian Democrats),1204,Indépendant,ALamassoure
Jean LAMBERT,United Kingdom,Group of the Greens/European Free Alliance,4531,Green Party,GreenJeanMEP
Philippe LAMBERTS,Belgium,Group of the Greens/European Free Alliance,96648,Ecologistes Confédérés pour l'Organisation de Luttes Originales,ph_lamberts
Danilo Oscar LANCINI,Italy,Europe of Nations and Freedom Group,192635,Lega Nord,
Bernd LANGE,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1909,Sozialdemokratische Partei Deutschlands,berndlange
Esther de LANGE,Netherlands,Group of the European People's Party (Christian Democrats),38398,Christen Democratisch Appèl,Esther_de_Lange
Werner LANGEN,Germany,Group of the European People's Party (Christian Democrats),1928,Christlich Demokratische Union Deutschlands,langen_werner
Giovanni LA VIA,Italy,Group of the European People's Party (Christian Democrats),96816,Alternativa Popolare,giovannilavia
Jérôme LAVRILLEUX,France,Group of the European People's Party (Christian Democrats),124731,-,lavrilleux_j
Gilles LEBRETON,France,Europe of Nations and Freedom Group,124738,Rassemblement national,Gilles_Lebreton
Christelle LECHEVALIER,France,Europe of Nations and Freedom Group,188718,Rassemblement national,c_lechevalier14
Ryszard Antoni LEGUTKO,Poland,European Conservatives and Reformists Group,96796,Prawo i Sprawiedliwość,
Patrick LE HYARIC,France,Confederal Group of the European United Left - Nordic Green Left,96735,Front de Gauche,PatrickLeHyaric
Jo LEINEN,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,4262,Sozialdemokratische Partei Deutschlands,jo_leinen
Jeroen LENAERS,Netherlands,Group of the European People's Party (Christian Democrats),95074,Christen Democratisch Appèl,jeroen_lenaers
Jean-Marie LE PEN,France,Non-attached Members,1023,Front national,lepenjm
Janusz LEWANDOWSKI,Poland,Group of the European People's Party (Christian Democrats),23781,Platforma Obywatelska,J_Lewandowski
