fullName,country,politicalGroup,id,nationalPoliticalGroup,twitter
Claude ROLIN,Belgium,Group of the European People's Party (Christian Democrats),125107,Centre Démocrate Humaniste,clauderolin
Bronis ROPĖ,Lithuania,Group of the Greens/European Free Alliance,125214,Lietuvos valstiečių ir žaliųjų sąjunga,bronisropelt
Dariusz ROSATI,Poland,Group of the European People's Party (Christian Democrats),28394,Platforma Obywatelska,DariuszRosati
Virginie ROZIÈRE,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,103845,Les radicaux de Gauche,VRoziere
Fernando RUAS,Portugal,Group of the European People's Party (Christian Democrats),124730,Partido Social Democrata,fernandoruaspe
Paul RÜBIG,Austria,Group of the European People's Party (Christian Democrats),2278,Österreichische Volkspartei,PaulRuebig
Pirkko RUOHONEN-LERNER,Finland,European Conservatives and Reformists Group,132366,Perussuomalaiset,pirkkorl
Tokia SAÏFI,France,Group of the European People's Party (Christian Democrats),4345,Agir - La Droite constructive,TokiaSaifi
Sofia SAKORAFA,Greece,Confederal Group of the European United Left - Nordic Green Left,125091,Independent,SofiaSakorafa
José Ignacio SALAFRANCA SÁNCHEZ-NEYRA,Spain,Group of the European People's Party (Christian Democrats),2002,Partido Popular,
Massimiliano SALINI,Italy,Group of the European People's Party (Christian Democrats),125670,Forza Italia,maxsalini
Lola SÁNCHEZ CALDENTEY,Spain,Confederal Group of the European United Left - Nordic Green Left,125035,PODEMOS,LolaPodemos
Anne SANDER,France,Group of the European People's Party (Christian Democrats),24594,Les Républicains,ASanderMEP
Alfred SANT,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124781,Partit Laburista,SantAlfred
Manuel dos SANTOS,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,21918,Partido Socialista,manuel___santos
Daciana Octavia SÂRBU,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,33989,Partidul Social Democrat,DacianaSarbu
Judith SARGENTINI,Netherlands,Group of the Greens/European Free Alliance,96815,GroenLinks,judithineuropa
Petri SARVAMAA,Finland,Group of the European People's Party (Christian Democrats),112611,Kansallinen Kokoomus,petrisarvamaa
Jacek SARYUSZ-WOLSKI,Poland,Non-attached Members,28297,Bezpartyjny,JSaryuszWolski
David-Maria SASSOLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96864,Partito Democratico,DavidSassoli
Algirdas SAUDARGAS,Lithuania,Group of the European People's Party (Christian Democrats),96696,Tėvynės sąjunga-Lietuvos krikščionys demokratai,SaudargasA
Marietje SCHAAKE,Netherlands,Group of the Alliance of Liberals and Democrats for Europe,96945,Democraten 66,MarietjeSchaake
Jean-Luc SCHAFFHAUSER,France,Europe of Nations and Freedom Group,124755,Rassemblement bleu Marine,JLSchaffhauser
Christel SCHALDEMOSE,Denmark,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,37312,Socialdemokratiet,SchaldemoseMEP
Martin SCHIRDEWAN,Germany,Confederal Group of the European United Left - Nordic Green Left,190517,DIE LINKE.,schirdewan
Elly SCHLEIN,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124804,-,ellyesse
Claudia SCHMIDT,Austria,Group of the European People's Party (Christian Democrats),125016,Österreichische Volkspartei,Schmidt_Clau
Helmut SCHOLZ,Germany,Confederal Group of the European United Left - Nordic Green Left,96646,DIE LINKE.,helmutscholzmep
György SCHÖPFLIN,Hungary,Group of the European People's Party (Christian Democrats),28135,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,schopflinMEP
Annie SCHREIJER-PIERIK,Netherlands,Group of the European People's Party (Christian Democrats),125030,Christen Democratisch Appèl,AnnieSchreijer
Sven SCHULZE,Germany,Group of the European People's Party (Christian Democrats),124809,Christlich Demokratische Union Deutschlands,schulzeeuropa
Joachim SCHUSTER,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124837,Sozialdemokratische Partei Deutschlands,
Andreas SCHWAB,Germany,Group of the European People's Party (Christian Democrats),28223,Christlich Demokratische Union Deutschlands,Andreas_Schwab
Giancarlo SCOTTA',Italy,Europe of Nations and Freedom Group,96996,Lega Nord,
Molly SCOTT CATO,United Kingdom,Group of the Greens/European Free Alliance,124942,Green Party,mollymep
Olga SEHNALOVÁ,Czech Republic,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96718,Česká strana sociálně demokratická,OlgaSehnalova
Jasenko SELIMOVIC,Sweden,Group of the Alliance of Liberals and Democrats for Europe,134243,Liberalerna,jasenkos
Maria Lidia SENRA RODRÍGUEZ,Spain,Confederal Group of the European United Left - Nordic Green Left,125049,Alternativa galega de esquerda en Europa,LidiaSenra
Remo SERNAGIOTTO,Italy,European Conservatives and Reformists Group,124794,Conservatori e Riformisti,SernagiottoRemo
Ricardo SERRÃO SANTOS,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124741,Partido Socialista,rserraosantos
Jill SEYMOUR,United Kingdom,Europe of Freedom and Direct Democracy Group,124950,United Kingdom Independence Party,JSeymourUKIP
Czesław Adam SIEKIERSKI,Poland,Group of the European People's Party (Christian Democrats),23787,Polskie Stronnictwo Ludowe,CzSiekierski
Pedro SILVA PEREIRA,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124747,Partido Socialista,
Peter SIMON,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96836,Sozialdemokratische Partei Deutschlands,PeterSimonMEP
Siôn SIMON,United Kingdom,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124948,Labour Party,sionsimon
Birgit SIPPEL,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96932,Sozialdemokratische Partei Deutschlands,BirgitSippelMEP
Branislav ŠKRIPEK,Slovakia,European Conservatives and Reformists Group,124927,OBYČAJNÍ ĽUDIA,branoskripek
Davor ŠKRLEC,Croatia,Group of the Greens/European Free Alliance,124756,Independent,DavorSkrlec
Alyn SMITH,United Kingdom,Group of the Greens/European Free Alliance,28508,Scottish National Party,AlynSmith
Monika SMOLKOVÁ,Slovakia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96655,SMER-Sociálna demokracia,SmolkovaMonika
Csaba SÓGOR,Romania,Group of the European People's Party (Christian Democrats),39724,Uniunea Democrată Maghiară din România,
Michaela ŠOJDROVÁ,Czech Republic,Group of the European People's Party (Christian Democrats),124710,Křesťanská a demokratická unie - Československá strana lidová,msojdrova
Jordi SOLÉ,Spain,Group of the Greens/European Free Alliance,185974,Esquerra Republicana de Catalunya,jordisolef
Igor ŠOLTES,Slovenia,Group of the Greens/European Free Alliance,125003,Lista dr. Igorja Šoltesa,isoltesEP
Renate SOMMER,Germany,Group of the European People's Party (Christian Democrats),4282,Christlich Demokratische Union Deutschlands,
Martin SONNEBORN,Germany,Non-attached Members,124834,Die PARTEI,MartinSonneborn
Renato SORU,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124860,Partito Democratico,renatosoru
Dobromir SOŚNIERZ,Poland,Non-attached Members,192298,Wolność,d_sosnierz
Barbara SPINELLI,Italy,Confederal Group of the European United Left - Nordic Green Left,124810,Independent,
Maria SPYRAKI,Greece,Group of the European People's Party (Christian Democrats),125064,Nea Demokratia,MariaSpyraki
Bart STAES,Belgium,Group of the Greens/European Free Alliance,4751,Groen,BartStaes
Sergei STANISHEV,Bulgaria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124852,Bulgarian Socialist Party,SergeiStanishev
Joachim STARBATTY,Germany,European Conservatives and Reformists Group,124827,Liberal-Conservative Refomists,JStarbatty
Ivan ŠTEFANEC,Slovakia,Group of the European People's Party (Christian Democrats),124929,Kresťanskodemokratické hnutie,IvanStefanec
Jaromír ŠTĚTINA,Czech Republic,Group of the European People's Party (Christian Democrats),124702,TOP 09 a Starostové,stetinaep
Helga STEVENS,Belgium,European Conservatives and Reformists Group,125105,Nieuw-Vlaamse Alliantie,StevensHelga
Catherine STIHLER,United Kingdom,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,4545,Labour Party,C_Stihler_MEP
Theodor Dumitru STOLOJAN,Romania,Group of the European People's Party (Christian Democrats),39721,Partidul Naţional Liberal,TheodorStolojan
Olaf STUGER,Netherlands,Europe of Nations and Freedom Group,125028,Partij voor de Vrijheid,OlafStuger
Dubravka ŠUICA,Croatia,Group of the European People's Party (Christian Democrats),119434,Hrvatska demokratska zajednica,dubravkasuica
Richard SULÍK,Slovakia,European Conservatives and Reformists Group,124928,Sloboda a Solidarita,SulikRichard
Patricija ŠULIN,Slovenia,Group of the European People's Party (Christian Democrats),125103,Slovenska demokratska stranka,PatricijaSulin
Pavel SVOBODA,Czech Republic,Group of the European People's Party (Christian Democrats),96272,Křesťanská a demokratická unie - Československá strana lidová,1PavelSvoboda
Kay SWINBURNE,United Kingdom,European Conservatives and Reformists Group,96920,Conservative Party,KaySwinburneMEP
Neoklis SYLIKIOTIS,Cyprus,Confederal Group of the European United Left - Nordic Green Left,124689,Progressive Party of Working People - Left - New Forces,sylikiotis
Eleftherios SYNADINOS,Greece,Non-attached Members,125072,Independent,synadinos_eleft
József SZÁJER,Hungary,Group of the European People's Party (Christian Democrats),23821,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,
Tibor SZANYI,Hungary,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124703,Magyar Szocialista Párt,szanyitibor
Adam SZEJNFELD,Poland,Group of the European People's Party (Christian Democrats),124890,Platforma Obywatelska,szejnfeld
Antonio TAJANI,Italy,Group of the European People's Party (Christian Democrats),2187,Forza Italia,Antonio_Tajani
Dario TAMBURRANO,Italy,Europe of Freedom and Direct Democracy Group,124813,Movimento 5 Stelle,tamburrano
Claudiu Ciprian TĂNĂSESCU,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96847,Partidul Social Democrat,cctanasescu
Paul TANG,Netherlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125020,Partij van de Arbeid,paultang
Charles TANNOCK,United Kingdom,European Conservatives and Reformists Group,4521,Conservative Party,CharlesTannock
Claudia ȚAPARDEL,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124793,Partidul Social Democrat,ClaudiaTapardel
Marc TARABELLA,Belgium,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,29579,Parti Socialiste,marctarabella
Indrek TARAND,Estonia,Group of the Greens/European Free Alliance,97136,Sõltumatu,indrektarand
Keith TAYLOR,United Kingdom,Group of the Greens/European Free Alliance,102931,Green Party,greenkeithmep
Pavel TELIČKA,Czech Republic,Group of the Alliance of Liberals and Democrats for Europe,124706,Independent,telicka
Josep-Maria TERRICABRAS,Spain,Group of the Greens/European Free Alliance,124932,Esquerra Republicana de Catalunya,jmterricabras
Eleni THEOCHAROUS,Cyprus,European Conservatives and Reformists Group,25704,Independent,theocharouse
Isabelle THOMAS,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,114279,"Génération.s, le mouvement",isabel_thomaseu
Róża Gräfin von THUN UND HOHENSTEIN,Poland,Group of the European People's Party (Christian Democrats),96776,Platforma Obywatelska,rozathun
Patrizia TOIA,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,28340,Partito Democratico,toiapatrizia
László TŐKÉS,Hungary,Group of the European People's Party (Christian Democrats),39726,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,
Ivica TOLIĆ,Croatia,Group of the European People's Party (Christian Democrats),185340,Hrvatska demokratska zajednica,
Valdemar TOMAŠEVSKI,Lithuania,European Conservatives and Reformists Group,96697,Lietuvos lenkų rinkimų akcija – Krikščioniškų šeimų sąjunga,
Ruža TOMAŠIĆ,Croatia,European Conservatives and Reformists Group,119431,Hrvatska konzervativna stranka,ruzatomasic
Romana TOMC,Slovenia,Group of the European People's Party (Christian Democrats),125104,Slovenska demokratska stranka,romanatomc
Yana TOOM,Estonia,Group of the Alliance of Liberals and Democrats for Europe,124700,Eesti Keskerakond,yanatoom
Estefanía TORRES MARTÍNEZ,Spain,Confederal Group of the European United Left - Nordic Green Left,131749,PODEMOS,etorrespodemos
Nils TORVALDS,Finland,Group of the Alliance of Liberals and Democrats for Europe,114268,Svenska folkpartiet,nilstorvalds
Evžen TOŠENOVSKÝ,Czech Republic,European Conservatives and Reformists Group,96713,Občanská demokratická strana,evzentosenovsky
Ulrike TREBESIUS,Germany,European Conservatives and Reformists Group,124829,Liberal-Conservative Refomists,trebesiusmdep
Ramon TREMOSA i BALCELLS,Spain,Group of the Alliance of Liberals and Democrats for Europe,97203,Partit Demòcrata Europeu i Català,ramontremosa
Mylène TROSZCZYNSKI,France,Europe of Nations and Freedom Group,124758,Rassemblement national,troszczynski_fn
Helga TRÜPEL,Germany,Group of the Greens/European Free Alliance,28240,Bündnis 90/Die Grünen,helgatruepel
Mihai ŢURCANU,Romania,Group of the European People's Party (Christian Democrats),131750,Partidul Naţional Liberal,turcanu2014
Claude TURMES,Luxembourg,Group of the Greens/European Free Alliance,4432,Déi Gréng - Les Verts,claudeturmes
Kazimierz Michał UJAZDOWSKI,Poland,Non-attached Members,23791,Independent,kmujazdowski
István UJHELYI,Hungary,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124705,Magyar Szocialista Párt,istvan_ujhelyi
Marita ULVSKOG,Sweden,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96672,Arbetarepartiet- Socialdemokraterna,maritaulvskog
Traian UNGUREANU,Romania,Group of the European People's Party (Christian Democrats),96835,Partidul Naţional Liberal,traianungureanu
Miguel URBÁN CRESPO,Spain,Confederal Group of the European United Left - Nordic Green Left,131507,PODEMOS,miguelurban
Ernest URTASUN,Spain,Group of the Greens/European Free Alliance,124972,Iniciativa per Catalunya Verds,ernesturtasun
Vladimir URUTCHEV,Bulgaria,Group of the European People's Party (Christian Democrats),38601,Citizens for European Development of Bulgaria,
Viktor USPASKICH,Lithuania,Group of the Alliance of Liberals and Democrats for Europe,96698,Darbo partija,viktoruspaskich
Inese VAIDERE,Latvia,Group of the European People's Party (Christian Democrats),28617,"Partija ""VIENOTĪBA""",inesevaidere
Ivo VAJGL,Slovenia,Group of the Alliance of Liberals and Democrats for Europe,97019,DeSUS - Demokratična Stranka Upokojencev Slovenije,ivajgl
Ramón Luis VALCÁRCEL SISO,Spain,Group of the European People's Party (Christian Democrats),125032,Partido Popular,rl_valcarcel
Adina-Ioana VĂLEAN,Romania,Group of the European People's Party (Christian Democrats),37324,Partidul Naţional Liberal,adinavalean
Elena VALENCIANO,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,4334,Partido Socialista Obrero Español,elenavalenciano
Bodil VALERO,Sweden,Group of the Greens/European Free Alliance,124993,Miljöpartiet de gröna,bodilvalero
Marco VALLI,Italy,Europe of Freedom and Direct Democracy Group,124778,Movimento 5 Stelle,marcovallim5s
Ángela VALLINA,Spain,Confederal Group of the European United Left - Nordic Green Left,125050,Izquierda Xunida,angelavallina
Monika VANA,Austria,Group of the Greens/European Free Alliance,124934,Die Grünen - Die Grüne Alternative,monikavana
Anneleen VAN BOSSUYT,Belgium,European Conservatives and Reformists Group,117491,Nieuw-Vlaamse Alliantie,anneleen_vb
Kathleen VAN BREMPT,Belgium,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,5729,Socialistische Partij.Anders,kvanbrempt
Tom VANDENKENDELAERE,Belgium,Group of the European People's Party (Christian Democrats),129164,Christen-Democratisch & Vlaams,tomvdkendelaere
Geoffrey VAN ORDEN,United Kingdom,European Conservatives and Reformists Group,4513,Conservative Party,
Derek VAUGHAN,United Kingdom,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96918,Labour Party,derekvaughan
Hilde VAUTMANS,Belgium,Group of the Alliance of Liberals and Democrats for Europe,130100,Open Vlaamse Liberalen en Democraten,hildevautmans
Mirja VEHKAPERÄ,Finland,Group of the Alliance of Liberals and Democrats for Europe,193269,NA,mirjavehkapera
Marie-Christine VERGIAT,France,Confederal Group of the European United Left - Nordic Green Left,96858,Front de Gauche,mcvergiat
Sabine VERHEYEN,Germany,Group of the European People's Party (Christian Democrats),96756,Christlich Demokratische Union Deutschlands,sabineverheyen
Guy VERHOFSTADT,Belgium,Group of the Alliance of Liberals and Democrats for Europe,97058,Open Vlaamse Liberalen en Democraten,guyverhofstadt
Miguel VIEGAS,Portugal,Confederal Group of the European United Left - Nordic Green Left,125100,Partido Comunista Português,miguelviegaspcp
Marie-Pierre VIEU,France,Confederal Group of the European United Left - Nordic Green Left,188721,Front de Gauche,mariepierrevieu
Harald VILIMSKY,Austria,Europe of Nations and Freedom Group,125001,Freiheitliche Partei Österreichs,vilimsky
Daniele VIOTTI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124791,Partito Democratico,danieleviotti
Henna VIRKKUNEN,Finland,Group of the European People's Party (Christian Democrats),124726,Kansallinen Kokoomus,hennavirkkunen
Anders Primdahl VISTISEN,Denmark,European Conservatives and Reformists Group,124875,Dansk Folkeparti,andersvistisen
Udo VOIGT,Germany,Non-attached Members,124832,Nationaldemokratische Partei Deutschlands,udovoigt
Axel VOSS,Germany,Group of the European People's Party (Christian Democrats),96761,Christlich Demokratische Union Deutschlands,axelvossmdep
Elissavet VOZEMBERG-VRIONIDI,Greece,Group of the European People's Party (Christian Democrats),125065,Nea Demokratia,vozemberg
Thomas WAITZ,Austria,Group of the Greens/European Free Alliance,190464,Die Grünen - Die Grüne Alternative,
Jarosław WAŁĘSA,Poland,Group of the European People's Party (Christian Democrats),96774,Platforma Obywatelska,walesamep
Julie WARD,United Kingdom,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124963,Labour Party,julie4nw
Manfred WEBER,Germany,Group of the European People's Party (Christian Democrats),28229,Christlich-Soziale Union in Bayern e.V.,manfredweber
Renate WEBER,Romania,Group of the Alliance of Liberals and Democrats for Europe,39713,Independent,renateweber
Josef WEIDENHOLZER,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,111014,Sozialdemokratische Partei Österreichs,weidenholzer
Jakob von WEIZSÄCKER,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124840,Sozialdemokratische Partei Deutschlands,jakob_eu
Bogdan Brunon WENTA,Poland,Group of the European People's Party (Christian Democrats),124903,Platforma Obywatelska,
Martina WERNER,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124826,Sozialdemokratische Partei Deutschlands,martinawernereu
Kerstin WESTPHAL,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96839,Sozialdemokratische Partei Deutschlands,westphalkerstin
Rainer WIELAND,Germany,Group of the European People's Party (Christian Democrats),2323,Christlich Demokratische Union Deutschlands,
Lieve WIERINCK,Belgium,Group of the Alliance of Liberals and Democrats for Europe,183022,Open Vlaamse Liberalen en Democraten,lievewierinck
Cecilia WIKSTRÖM,Sweden,Group of the Alliance of Liberals and Democrats for Europe,96677,Liberalerna,ceciliawikstrom
Kristina WINBERG,Sweden,Europe of Freedom and Direct Democracy Group,124995,Sverigedemokraterna,kristinawinberg
Hermann WINKLER,Germany,Group of the European People's Party (Christian Democrats),96764,Christlich Demokratische Union Deutschlands,
Iuliu WINKLER,Romania,Group of the European People's Party (Christian Democrats),39725,Uniunea Democrată Maghiară din România,iuliuwinkler
Jadwiga WIŚNIEWSKA,Poland,European Conservatives and Reformists Group,124877,Prawo i Sprawiedliwość,j_wisniewska
Tiemo WÖLKEN,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,185619,Sozialdemokratische Partei Deutschlands,woelken
Steven WOOLFE,United Kingdom,Non-attached Members,124966,Independent,steven_woolfe
Anna ZÁBORSKÁ,Slovakia,Group of the European People's Party (Christian Democrats),23894,Kresťanskodemokratické hnutie,annazaborska
Theodoros ZAGORAKIS,Greece,Group of the European People's Party (Christian Democrats),125067,Nea Demokratia,
Jan ZAHRADIL,Czech Republic,European Conservatives and Reformists Group,23712,Občanská demokratická strana,zahradiljan
Boris ZALA,Slovakia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96656,SMER-Sociálna demokracia,zalaboris
Francis ZAMMIT DIMECH,Malta,Group of the European People's Party (Christian Democrats),188906,Partit Nazzjonalista,franciszd
Marco ZANNI,Italy,Europe of Nations and Freedom Group,124780,Independent,marcozanni86
Flavio ZANONATO,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124800,Articolo UNO – Movimento Democratico e Progressista,flaviozanonato
Sotirios ZARIANOPOULOS,Greece,Non-attached Members,125090,Communist Party of Greece,
Tomáš ZDECHOVSKÝ,Czech Republic,Group of the European People's Party (Christian Democrats),124713,Křesťanská a demokratická unie - Československá strana lidová,tomzdechovsky
Bogdan Andrzej ZDROJEWSKI,Poland,Group of the European People's Party (Christian Democrats),124893,Platforma Obywatelska,bzdrojewski
Joachim ZELLER,Germany,Group of the European People's Party (Christian Democrats),96762,Christlich Demokratische Union Deutschlands,joachimzeller
Janusz ZEMKE,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96784,Sojusz Lewicy Demokratycznej - Unia Pracy,januszzemke
Auke ZIJLSTRA,Netherlands,Europe of Nations and Freedom Group,103246,Partij voor de Vrijheid,
Roberts ZĪLE,Latvia,European Conservatives and Reformists Group,28615,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",robertszile
Gabriele ZIMMER,Germany,Confederal Group of the European United Left - Nordic Green Left,28248,DIE LINKE.,gabizimmermep
Jana ŽITŇANSKÁ,Slovakia,European Conservatives and Reformists Group,124901,NOVA,janazitnanska
Kosma ZŁOTOWSKI,Poland,European Conservatives and Reformists Group,124884,Prawo i Sprawiedliwość,kosmazlotowski
Maria Gabriela ZOANĂ,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,191377,Partidul Social Democrat,gabriela_zoana
Damiano ZOFFOLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,131051,Partito Democratico,damianozoffoli
Stanisław ŻÓŁTEK,Poland,Europe of Nations and Freedom Group,124902,Kongres Nowej Prawicy,
Carlos ZORRINHO,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124739,Partido Socialista,czorrinho
Željana ZOVKO,Croatia,Group of the European People's Party (Christian Democrats),185341,Hrvatska demokratska zajednica,zovkoeu
Marco ZULLO,Italy,Europe of Freedom and Direct Democracy Group,125237,Movimento 5 Stelle,marcozullo
Milan ZVER,Slovenia,Group of the European People's Party (Christian Democrats),96933,Slovenska demokratska stranka,milanzver
Tadeusz ZWIEFKA,Poland,Group of the European People's Party (Christian Democrats),28301,Platforma Obywatelska,tadeuszzwiefka
